1.0,1109,서대문,서울시청AWS,126.9279245,37.583785,서대문구 백련사길 19 (서대문체육문화회관),
2.0,1108,강남,서울시청AWS,127.0459098,37.5205953,강남구 삼성동 16-1 (강남구청 제1별관),
4.0,1106,영등포,서울시청AWS,126.8878265,37.5425745,영등포구 양평동5가 양평교 옆 (양평 제2빗물펌프장),
5.0,1105,구로,서울시청AWS,126.8810297,37.4938322,구로구 구로동 704-57 (구로2동 주민센터),
6.0,1104,마포,서울시청AWS,126.8986302,37.5765291,마포구 성산동 445 (성산빗물펌프장),
7.0,1103,도봉,서울시청AWS,127.0410068,37.6716593,도봉구 창동 362-1 (도봉소방서(창동 119 안전센터)),
8.0,1102,성북,서울시청AWS,127.0294138,37.6030454,성북구 종암동 80-8 (종암동 주민센터),
9.0,1101,동대문,서울시청AWS,127.0677087,37.591849,동대문구 휘경동 348 (휘경빗물펌프장),
10.0,1100,남산,서울시청AWS,126.9900194,37.5586689,중구 예장동 산5-85 (서울시청 남산별관),
11.0,403,송파,기상청AWS,127.0983106,37.5110096,송파구 잠실동 40-1 (롯데월드),
13.0,407,노원,기상청AWS,127.0873044,37.6221956,노원구 공릉동 230-3 (육군사관학교),
14.0,1119,중구,서울시청AWS,127.0009141,37.5561666,중구 장충동 2가 208-1 (중부수도사업소),
16.0,423,구로,기상청AWS,126.8312293,37.4861128,구로구 궁동 213-42 (수궁동사무소),
17.0,405,양천,기상청AWS,126.8772291,37.5268081,양천구 목동 915 (목동주차장),
18.0,419,중구,기상청AWS,126.9843189,37.5562988,중구 회현동1가 산1-19 (한국삭도(주)),
19.0,414,성북,기상청AWS,126.9972197,37.613296,성북구 정릉동 861-1 (국민대학교),
20.0,1123,관악,서울시청AWS,126.9461157,37.4923181,관악구 성현동 1712-9 (성현동 주민 센터),
21.0,1117,성동,서울시청AWS,127.0396135,37.5417756,성동구 왕십리길 544, 성수1가동 685-124 (서울시한강,
22.0,1110,금천,서울시청AWS,126.8976223,37.4688256,금천구 독산2동 1035-13 (독산2동 주민센터),
23.0,110,김포공항,기상청AWS,126.7954326,37.5594755,강서구 공항동 1번지 (김포공항),
26.0,401,서초,기상청AWS,127.0179133,37.4828143,서초구 서초동 1650 (서울교육대학교),
27.0,410,기상청,기상청AWS,126.920722,37.4963142,동작구 신대방동 460-18 (기상청),
28.0,400,강남,기상청AWS,127.0464123,37.5122075,강남구 삼성동 42 (삼릉초등학교),
29.0,415,용산,기상청AWS,126.9754162,37.5196055,용산구 이촌동 301-75 (신용산초등학교),
30.0,418,한강,기상청AWS,126.9373233,37.5241055,영등포구 여의도동 85-1 (세모유람선),
31.0,510,영등포,기상청AWS,126.9059224,37.5290091,영등포구 당산동 121-22 (영동초등학교),
32.0,413,광진,기상청AWS,127.0770084,37.5407037,광진구 화양동 93-1 (건국대학교),
33.0,411,마포,기상청AWS,126.9321232,37.5459012,마포구 망원동 211-42 (마포제2빗물펌프장,
34.0,421,성동,기상청AWS,127.0385114,37.5478027,성동구 성수동1가 684-14 (성수중학교),
35.0,402,강동,기상청AWS,127.1463026,37.554706,강동구 고덕동 317-1 (종합직업학교),
38.0,409,중랑,기상청AWS,127.0868052,37.5862996,중랑구 면목동 551 (면동초등학교),
39.0,416,은평,기상청AWS,126.9336226,37.6111958,은평구 불광동 280-17 (국립환경연구원),
40.0,420,북한산,기상청AWS,126.9544188,37.6182946,종로구 구기동 산1 (승가사),
41.0,424,강북,기상청AWS,126.9996128,37.6360933,강북구 수유동 192-49 (강북구청 본관),
42.0,406,도봉,기상청AWS,127.0331096,37.6660907,도봉구 방학동 310 (신방학초등학교),
43.0,1125,강서,서울시청AWS,126.8681294,37.5591616,강서구 염창동 217-10 (염창1빗물펌프장),
44.0,1124,강동,서울시청AWS,127.1230052,37.5322237,강동구 성내동 541-4 (강동수도사업소),
